Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
2515,TVC-SCL SPL,30,BBS,BHUBANESWAR,15:50:00,15:55:00,2145,TVC,TRIVANDRUM CENTRAL,SCL,SILCHAR
2841,SRC MAS SPL,5,BBS,BHUBANESWAR,19:20:00,19:25:00,433,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
2842,MAS SRC SPL,8,BBS,BHUBANESWAR,15:45:00,15:50:00,1222,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
3101,KOAA PURI SP,7,BBS,BHUBANESWAR,10:10:00,10:15:00,460,KOAA,KOLKATA,PURI,PURI
3102,PURI KOAA SP,3,BBS,BHUBANESWAR,00:05:00,00:10:00,62,PURI,PURI,KOAA,KOLKATA
6009,SRC-PDY SPL,6,BBS,BHUBANESWAR,20:15:00,20:20:00,434,SRC,SANTRAGACHI JN.,PDY,PONDICHERRY
6010,PDY-SRC SPL,22,BBS,BHUBANESWAR,21:20:00,21:25:00,1410,PDY,PONDICHERRY,SRC,SANTRAGACHI JN.
6057,SRC-MAS  SPL,6,BBS,BHUBANESWAR,06:55:00,07:00:00,433,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
6058,MAS-SRC  EXP,14,BBS,BHUBANESWAR,11:55:00,12:00:00,1222,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
7149,SC-GHY HSP,16,BBS,BHUBANESWAR,03:40:00,03:45:00,1107,SC,SECUNDERABAD JN.,GHY,GUWAHATI
7438,KCG-TATA HSP,20,BBS,BHUBANESWAR,08:45:00,08:50:00,1113,KCG,KACHEGUDA,TATA,TATANAGAR JN
7439,TATA-KCG HSP,9,BBS,BHUBANESWAR,07:30:00,07:35:00,420,TATA,TATANAGAR JN,KCG,KACHEGUDA
8064,BQA-KGP DEMU,12,BBS,BHUBANESWAR,03:20:00,03:25:00,1597,BQA,BANKURA,KGP,KHARAGPUR
8403,PURI-SRC WEE,3,BBS,BHUBANESWAR,23:00:00,23:05:00,62,PURI,PURI,SRC,SANTRAGACHI JN.
8404,SRC-PURI WEE,7,BBS,BHUBANESWAR,01:10:00,01:15:00,434,SRC,SANTRAGACHI JN.,PURI,PURI
