Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
2515,TVC-SCL SPL,37,HWH,HOWRAH JN.,23:55:00,00:15:00,2586,TVC,TRIVANDRUM CENTRAL,SCL,SILCHAR
8064,BQA-KGP DEMU,16,HWH,HOWRAH JN.,09:10:00,00:00:00,2039,BQA,BANKURA,KGP,KHARAGPUR
8627,HWH RNC SPL,1,HWH,HOWRAH JN.,12:50:00,12:50:00,0,HWH,HOWRAH JN.,RNC,RANCHI
8628,RNC HWH  SPL,14,HWH,HOWRAH JN.,15:15:00,15:15:00,481,RNC,RANCHI,HWH,HOWRAH JN.
11447,SHAKTIPUNJ E,45,HWH,HOWRAH JN.,04:15:00,04:15:00,1156,JBP,JABALPUR,HWH,HOWRAH JN.
11448,SHAKTIPUNJ E,1,HWH,HOWRAH JN.,13:10:00,13:10:00,0,HWH,HOWRAH JN.,JBP,JABALPUR
12019,HOWRAH RANCH,1,HWH,HOWRAH JN.,06:05:00,06:05:00,0,HWH,HOWRAH JN.,RNC,RANCHI
12020,RNC HWH SHAT,10,HWH,HOWRAH JN.,21:30:00,21:30:00,434,RNC,RANCHI,HWH,HOWRAH JN.
12021,HOWRAH-BARAB,1,HWH,HOWRAH JN.,06:20:00,06:20:00,0,HWH,HOWRAH JN.,BBN,BARBIL
12022,BARABIL-HOWR,11,HWH,HOWRAH JN.,20:50:00,20:50:00,401,BBN,BARBIL,HWH,HOWRAH JN.
12023,HOWRAH PATNA,1,HWH,HOWRAH JN.,14:05:00,14:05:00,0,HWH,HOWRAH JN.,PNBE,PATNA JN.
12024,PATNA HOWRAH,14,HWH,HOWRAH JN.,13:25:00,13:25:00,531,PNBE,PATNA JN.,HWH,HOWRAH JN.
12041,HWH - NJP SH,1,HWH,HOWRAH JN.,14:15:00,14:15:00,0,HWH,HOWRAH JN.,NJP,NEW JALPAIGURI JN
12042,NJP - HWH SH,7,HWH,HOWRAH JN.,13:35:00,13:35:00,560,NJP,NEW JALPAIGURI JN,HWH,HOWRAH JN.
12073,HWH-BBS JAN,1,HWH,HOWRAH JN.,13:25:00,13:25:00,0,HWH,HOWRAH JN.,BBS,BHUBANESWAR
