Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
2515,TVC-SCL SPL,23,VSKP,VISAKHAPATNA,08:00:00,08:20:00,1703,TVC,TRIVANDRUM CENTRAL,SCL,SILCHAR
2841,SRC MAS SPL,7,VSKP,VISAKHAPATNA,02:05:00,02:35:00,875,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
2842,MAS SRC SPL,6,VSKP,VISAKHAPATNA,08:15:00,08:45:00,780,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
6057,SRC-MAS  SPL,10,VSKP,VISAKHAPATNA,14:15:00,14:45:00,875,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
6058,MAS-SRC  EXP,10,VSKP,VISAKHAPATNA,05:10:00,05:30:00,780,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
6579,YPR-VSKP WKY,21,VSKP,VISAKHAPATNA,14:35:00,14:35:00,1089,YPR,YESVANTPUR JN.,VSKP,VISAKHAPATNAM
6580,VSKP-YPR WKY,1,VSKP,VISAKHAPATNA,13:45:00,13:45:00,0,VSKP,VISAKHAPATNAM,YPR,YESVANTPUR JN.
7016,KCG-VSKP,18,VSKP,VISAKHAPATNA,07:50:00,07:50:00,670,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM
7044,VSKP HSP,11,VSKP,VISAKHAPATNA,07:50:00,07:50:00,735,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM
7149,SC-GHY HSP,12,VSKP,VISAKHAPATNA,20:35:00,20:55:00,664,SC,SECUNDERABAD JN.,GHY,GUWAHATI
7438,KCG-TATA HSP,14,VSKP,VISAKHAPATNA,01:30:00,01:50:00,670,KCG,KACHEGUDA,TATA,TATANAGAR JN
7439,TATA-KCG HSP,15,VSKP,VISAKHAPATNA,14:50:00,15:30:00,862,TATA,TATANAGAR JN,KCG,KACHEGUDA
7487,TPTY-VSKP,11,VSKP,VISAKHAPATNA,10:45:00,10:45:00,735,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM
8064,BQA-KGP DEMU,7,VSKP,VISAKHAPATNA,20:50:00,21:05:00,1155,BQA,BANKURA,KGP,KHARAGPUR
8301,SBP-BAND WEE,8,VSKP,VISAKHAPATNA,19:00:00,19:20:00,505,SBP,SAMBALPUR JN.,BAND,BANASWADI
8302,BAND-SBP WEE,8,VSKP,VISAKHAPATNA,20:35:00,20:55:00,1061,BAND,BANASWADI,SBP,SAMBALPUR JN.
8501,VSKP SC WEEK,1,VSKP,VISAKHAPATNA,23:00:00,23:00:00,0,VSKP,VISAKHAPATNAM,SC,SECUNDERABAD JN.
8502,SC VSKP SPEC,13,VSKP,VISAKHAPATNA,04:50:00,04:50:00,698,SC,SECUNDERABAD JN.,VSKP,VISAKHAPATNAM
8511,KRDL-VSKP SP,12,VSKP,VISAKHAPATNA,03:00:00,03:00:00,471,KRDL,KIRANDUL,VSKP,VISAKHAPATNAM
8512,VSKP-KRDL SP,1,VSKP,VISAKHAPATNA,22:15:00,22:15:00,0,VSKP,VISAKHAPATNAM,KRDL,KIRANDUL
8567,VSKP-QLN BI-,1,VSKP,VISAKHAPATNA,23:00:00,23:00:00,0,VSKP,VISAKHAPATNAM,QLN,QUILON
8568,QLN-VSKP BI-,29,VSKP,VISAKHAPATNA,12:30:00,12:30:00,1578,QLN,QUILON,VSKP,VISAKHAPATNAM
